,time,BTC/USDT_change,ETH/USDT_change,BNB/USDT_change,MATIC/USDT_change,LTC/USDT_change,DOGE/USDT_change,XRP/USDT_change,LINK/USDT_change,ATOM/USDT_change,ETC/USDT_change
255,2019-09-13,-0.7,0.13,-0.17,4.86,-0.36,-6.42,0.46,0.9,6.26,-0.63
256,2019-09-14,-0.09,3.96,0.8,-3.02,2.28,1.83,2.3,1.52,0.61,1.22
257,2019-09-15,-0.3,0.47,-3.12,-0.6,-0.64,-1.34,-0.39,3.96,-0.21,0.09
258,2019-09-16,-0.5,4.32,-0.24,-2.73,3.7,10.61,0.32,3.45,-0.26,-0.56
259,2019-09-17,-0.6,5.38,3.96,1.85,1.89,1.15,9.42,9.98,-0.24,1.05
260,2019-09-18,-0.3,1.14,5.57,-0.47,5.06,0.51,9.77,-3.44,6.64,1.43
261,2019-09-19,0.87,4.74,-2.99,1.22,-1.56,-3.54,-4.09,1.13,1.04,-2.52
262,2019-09-20,-0.73,-1.01,-1.2,3.41,-1.97,5.63,-2.34,-0.2,11.58,-0.62
263,2019-09-21,-1.79,-1.36,-1.45,1.03,-2.45,2.09,-1.36,10.42,-1.63,-0.77
264,2019-09-22,0.44,-1.79,-2.92,4.86,-1.33,-1.16,-4.53,10.59,-7.5,-2.16
265,2019-09-23,-3.25,-4.69,-5.11,-1.59,-7.92,1.22,-3.15,7.52,-2.36,-2.81
266,2019-09-24,-12.46,-17.61,-18.06,15.93,-17.99,-3.81,-13.08,8.7,-0.24,-20.62
267,2019-09-25,-0.79,2.56,1.32,-6.52,5.24,0.43,5.53,-6.07,3.07,4.26
268,2019-09-26,-4.35,-2.38,-4.95,-5.95,-3.98,-4.63,-1.41,4.52,0.37,-2.7
269,2019-09-27,1.42,4.74,2.99,2.49,1.25,4.39,-0.09,-5.35,-4.27,-0.54
270,2019-09-28,0.26,-0.2,0.43,1.6,-0.88,0.26,-0.19,-4.29,0.54,0.13
271,2019-09-29,-1.9,-2.46,-3.39,-0.41,-2.82,3.51,-0.58,1.91,-2.12,-2.73
272,2019-09-30,3.06,6.85,4.27,-6.14,3.99,0.75,6.81,-5.3,2.24,3.6
273,2019-10-01,0.03,-2.89,0.04,1.06,-0.68,-1.25,-3.39,-0.97,0.78,-2.1
274,2019-10-02,0.81,2.61,0.03,-1.23,1.15,1.25,1.86,1.63,1.37,1.47
275,2019-10-03,-1.63,-3.08,-1.59,2.81,0.28,-1.31,-2.27,-2.66,-4.24,-1.74
276,2019-10-04,-1.06,0.48,-0.23,2.55,-0.27,7.73,2.25,0.0,0.2,-0.46
277,2019-10-05,-0.13,0.4,0.54,1.42,0.69,0.25,0.3,3.96,-0.41,0.85
278,2019-10-06,-3.36,-3.48,-3.94,-0.64,-4.02,0.36,0.9,7.28,-0.23,-2.73
279,2019-10-07,4.26,5.74,6.37,9.1,5.59,0.57,7.99,-0.54,0.55,3.93
280,2019-10-08,-0.27,0.4,-0.03,-3.44,-0.9,-2.85,0.57,-0.07,-3.18,-1.01
281,2019-10-09,4.77,6.65,10.59,2.18,3.87,-0.05,1.23,4.33,-1.03,9.55
282,2019-10-10,-0.05,-0.76,-1.02,4.05,-2.76,-0.04,-3.8,4.31,2.61,-4.69
283,2019-10-11,-3.5,-5.47,-5.51,15.55,-2.84,-0.55,-1.03,-3.62,5.98,-3.94
284,2019-10-12,0.51,-0.54,3.64,-4.59,-0.27,0.63,1.81,-2.48,5.21,1.36
285,2019-10-13,-0.32,0.75,6.35,2.52,1.35,-2.98,1.81,-0.36,-3.8,0.76
286,2019-10-14,0.88,3.17,0.99,13.7,0.69,4.83,7.21,0.07,2.77,1.03
287,2019-10-15,-2.25,-3.33,0.68,-6.05,-3.96,-0.86,-2.9,-1.94,0.34,-5.29
288,2019-10-16,-2.05,-3.35,-4.42,-7.7,-3.88,2.81,-1.83,4.51,6.96,-2.59
289,2019-10-17,0.95,1.51,4.33,3.58,4.75,-0.73,6.47,-0.52,0.02,1.9
290,2019-10-18,-1.53,-2.5,-1.63,-1.42,-3.17,-2.58,-2.53,-0.44,-3.8,-2.01
291,2019-10-19,0.01,-0.57,0.02,6.17,0.96,-0.95,-0.88,-1.52,4.05,0.15
292,2019-10-20,3.44,1.97,1.54,-0.48,2.1,2.36,0.83,0.57,-9.98,1.89
293,2019-10-21,-0.32,-0.69,-1.27,-2.15,-0.51,2.56,-0.7,0.0,-4.9,1.69
294,2019-10-22,-2.16,-1.61,-0.14,4.21,-2.16,1.87,-0.48,2.64,-2.56,-2.78
295,2019-10-23,-6.9,-5.16,-8.65,-10.18,-7.27,1.99,-5.97,-2.51,3.76,-4.48
296,2019-10-24,-0.75,-1.21,1.44,-3.83,0.12,13.02,1.06,1.28,-6.64,0.03
297,2019-10-25,16.76,13.16,10.04,0.0,14.89,-2.4,8.09,3.39,7.6,11.32
298,2019-10-26,6.63,-1.12,1.78,7.01,-0.4,-0.81,-1.64,-0.85,11.03,-3.6
299,2019-10-27,3.25,2.41,1.89,-7.34,5.45,7.48,1.59,-1.2,1.17,4.4
300,2019-10-28,-3.39,-1.15,3.34,3.86,-3.5,-2.34,-1.27,2.6,-4.44,-0.9
301,2019-10-29,2.21,4.84,4.05,0.29,3.55,2.16,2.54,7.18,-8.52,3.95
302,2019-10-30,-2.69,-3.84,-3.27,0.05,-3.13,2.57,-2.39,0.67,-7.66,-2.84
303,2019-10-31,-0.14,-0.52,-0.7,7.37,0.67,-1.54,-0.06,0.06,-10.12,0.41
304,2019-11-01,0.99,0.36,0.46,-6.73,-0.1,-1.62,-1.06,-1.57,1.4,1.3
305,2019-11-02,0.63,0.03,0.87,-8.1,0.02,0.08,1.06,-2.65,-4.0,1.16
306,2019-11-03,-1.02,-0.74,0.01,-3.26,0.09,0.1,-1.47,-4.18,-2.99,-0.97
307,2019-11-04,2.14,2.3,2.19,6.51,5.15,7.37,2.89,-2.26,-2.79,1.8
308,2019-11-05,-0.89,1.6,0.22,2.85,3.04,-2.18,0.66,-1.09,10.95,1.06
309,2019-11-06,0.34,1.33,0.18,-0.25,1.55,-0.31,3.15,-5.66,-2.32,1.07
310,2019-11-07,-1.32,-2.34,-1.35,-3.97,-4.24,-5.33,-6.3,-7.82,3.31,3.29
311,2019-11-08,-4.78,-1.57,-3.86,10.86,-1.66,-1.26,-5.23,3.55,0.24,-5.14
312,2019-11-09,0.41,0.64,0.27,9.28,2.78,2.33,1.61,-8.47,2.53,-0.32
313,2019-11-10,2.61,2.22,3.7,7.12,2.6,2.6,-0.34,1.37,-6.25,1.62
314,2019-11-11,-3.39,-2.11,-1.68,5.1,-2.84,2.47,-1.71,-0.58,-14.84,-2.97
315,2019-11-12,1.01,1.14,4.39,-5.27,-0.68,-3.26,-0.73,-0.87,-1.85,0.28
316,2019-11-13,-0.51,0.55,1.93,7.25,-0.8,0.37,-0.08,2.19,1.19,-1.25
317,2019-11-14,-1.49,-1.67,-0.34,-20.01,-3.22,0.98,-1.51,3.02,-2.32,-2.02
318,2019-11-15,-2.02,-2.67,-4.89,-4.42,-2.37,0.51,-2.71,-4.4,-46.09,-3.9
319,2019-11-16,0.23,1.32,-0.61,0.39,1.2,0.34,0.57,-3.23,11.63,1.42
320,2019-11-17,0.14,0.8,0.15,-7.82,1.6,-1.54,0.35,-3.34,1.83,-0.39
321,2019-11-18,-3.71,-3.06,-5.48,-51.84,-5.74,-0.95,-4.32,1.48,4.57,-5.36
322,2019-11-19,-0.65,-1.27,-3.05,16.26,-1.2,1.64,0.89,-4.39,-13.15,0.5
323,2019-11-20,-0.44,-0.69,-2.26,-9.15,-0.27,0.29,-1.51,-1.06,5.44,-1.12
324,2019-11-21,-5.81,-7.86,-7.1,0.31,-7.97,-3.53,-2.71,4.41,2.72,-3.65
325,2019-11-22,-4.71,-7.12,-7.82,-17.55,-6.5,3.88,-5.52,-2.29,13.95,-7.44
326,2019-11-23,0.6,1.53,4.81,13.01,1.65,-1.86,1.75,0.62,4.69,3.16
327,2019-11-24,-5.58,-7.82,-7.61,-0.98,-8.83,0.88,-6.07,2.26,-0.09,-7.11
328,2019-11-25,3.03,4.07,0.87,22.78,3.65,0.93,-1.27,7.98,-11.62,1.76
329,2019-11-26,0.65,1.14,1.39,-3.3,3.14,0.15,1.52,-3.84,10.18,2.73
330,2019-11-27,4.94,3.49,4.77,3.32,1.68,3.47,1.57,-3.34,1.66,1.94
331,2019-11-28,-1.18,-1.24,-3.45,-10.19,-1.89,-2.22,-0.42,-1.56,-3.03,-0.28
332,2019-11-29,4.33,2.57,4.53,10.85,3.76,3.77,3.07,-3.7,4.37,3.57
333,2019-11-30,-2.57,-2.05,-3.18,0.81,-2.76,-3.38,-1.94,3.82,-8.33,-3.29
334,2019-12-01,-1.99,-0.46,-1.74,1.87,0.51,1.0,-0.32,-4.69,-0.9,-0.21
335,2019-12-02,-1.32,-1.37,-1.94,3.49,-4.21,1.65,-2.48,-10.69,-6.23,-1.85
336,2019-12-03,-0.02,-1.0,0.76,-9.35,-1.52,-1.23,0.21,6.3,5.67,-0.62
337,2019-12-04,-1.35,-1.23,-1.01,-1.48,-0.2,0.36,-2.55,-3.49,-0.26,-2.11
338,2019-12-05,2.7,1.82,3.5,-5.83,0.38,0.34,3.36,6.27,0.97,1.08
339,2019-12-06,1.87,0.23,0.09,6.69,1.12,-0.49,1.94,-3.16,0.56,2.62
340,2019-12-07,-0.53,-0.89,-0.32,2.72,-0.24,-1.01,0.64,3.33,-0.1,-0.69
341,2019-12-08,0.3,2.23,0.04,2.09,0.93,0.68,0.91,-2.81,2.22,0.92
342,2019-12-09,-2.28,-2.03,-1.71,2.67,-2.41,-5.18,-2.04,-1.09,2.03,-2.56
343,2019-12-10,-1.56,-1.25,-3.39,0.43,-0.81,2.2,-0.8,-3.3,16.56,-0.59
344,2019-12-11,-0.2,-1.47,-0.14,1.21,-0.84,0.4,-0.73,3.94,-2.49,-0.03
345,2019-12-12,-0.17,1.02,-0.38,-2.39,-0.11,-0.65,-1.2,1.15,6.31,1.08
346,2019-12-13,0.84,-0.05,0.94,18.51,1.81,-0.57,0.99,-0.17,3.21,1.04
347,2019-12-14,-2.66,-2.08,-3.14,-4.08,-2.68,0.62,-2.04,1.39,-10.27,-1.65
348,2019-12-15,0.77,0.47,0.04,6.19,0.37,-0.2,0.6,-3.88,-0.09,0.18
349,2019-12-16,-3.2,-6.83,-6.53,-1.89,-7.98,-0.86,-5.45,-2.98,-0.17,-3.31
350,2019-12-17,-3.88,-8.17,-8.1,-11.05,-7.65,-0.7,-10.89,2.45,-1.61,-5.69
351,2019-12-18,9.87,8.94,9.95,1.92,10.42,0.08,6.9,-4.1,4.47,8.48
352,2019-12-19,-1.75,-3.54,-2.06,-0.08,-2.79,-0.7,-4.05,3.88,-3.73,-1.29
353,2019-12-20,0.51,0.07,1.11,-1.64,1.29,1.54,3.95,1.18,6.7,8.78
354,2019-12-21,-0.77,-0.94,-1.48,0.75,-1.2,-0.57,-1.87,-1.57,-2.15,0.91
355,2019-12-22,5.19,4.01,3.71,-3.8,5.42,-2.35,2.69,7.91,5.91,2.63
356,2019-12-23,-2.45,-3.27,-3.46,8.34,-3.06,-0.68,-3.55,8.57,-5.1,-4.92
357,2019-12-24,-0.84,-0.04,0.29,0.95,-0.54,-2.15,0.63,4.22,-4.62,-1.46
358,2019-12-25,-0.7,-2.04,-2.01,5.19,-0.62,-2.0,-1.14,0.04,0.0,2.73
359,2019-12-26,-0.04,0.39,0.57,-3.81,-0.25,0.44,0.31,1.78,5.2,11.13
360,2019-12-27,0.73,0.57,1.17,-6.83,2.4,-0.5,0.42,2.15,1.55,0.48
361,2019-12-28,0.85,1.45,2.93,-0.17,4.57,0.67,1.67,-1.53,13.37,-2.12
362,2019-12-29,1.0,4.88,3.11,6.59,0.56,0.44,1.72,-2.15,4.48,5.21
363,2019-12-30,-1.93,-2.06,-1.69,11.74,-1.6,-0.13,-1.65,8.43,-2.13,-0.42
364,2019-12-31,-0.7,-1.86,-1.04,2.59,-2.5,-0.14,-0.17,0.85,-1.46,-2.81
365,2020-01-01,0.08,1.25,0.02,2.52,0.8,-0.62,0.1,3.89,0.94,0.2
366,2020-01-02,-3.26,-2.7,-5.08,3.92,-5.17,-0.02,-2.87,8.35,4.79,-6.18
367,2020-01-03,5.45,5.63,4.9,-1.15,7.07,13.94,3.14,2.6,-6.69,8.12
368,2020-01-04,0.12,-0.13,1.18,1.81,1.3,19.74,-0.13,-5.54,3.48,4.0
369,2020-01-05,0.06,0.87,1.85,4.85,1.19,51.97,0.77,2.57,1.59,2.52
370,2020-01-06,5.44,6.49,6.39,-6.14,5.8,-9.26,14.69,-0.61,-3.45,3.18
371,2020-01-07,4.98,-0.93,0.53,2.86,1.09,-18.3,-4.37,-1.12,-0.58,-3.9
372,2020-01-08,-1.1,-1.46,-3.25,6.69,-2.05,7.73,-2.74,-6.54,-1.96,2.42
373,2020-01-09,-2.94,-2.15,-0.93,1.0,-1.35,-4.59,-1.82,1.33,-3.29,4.7
374,2020-01-10,4.85,5.16,4.79,-0.82,9.63,-12.87,4.46,-2.22,3.73,3.34
375,2020-01-11,-2.18,-1.69,-0.97,-0.06,0.49,4.12,-0.73,5.48,2.86,3.91
376,2020-01-12,2.06,2.91,2.84,0.47,4.28,-6.21,1.98,1.13,-1.96,0.14
377,2020-01-13,-0.91,-2.03,-1.07,1.99,-3.58,-3.7,-1.87,1.95,-8.58,-2.02
378,2020-01-14,8.63,15.36,9.65,2.87,17.75,2.42,11.02,4.63,-4.55,24.07
379,2020-01-15,0.08,0.48,6.23,-3.91,-0.36,12.98,-0.38,4.93,3.89,17.8
380,2020-01-16,-1.13,-1.32,-3.58,-10.98,-1.05,-1.96,-2.0,-2.96,2.21,5.35
381,2020-01-17,2.21,3.42,6.06,-2.02,6.01,-4.76,4.46,0.42,-0.47,12.81
382,2020-01-18,0.03,2.48,-1.48,15.06,-2.83,2.44,1.82,-0.37,-2.29,-12.29
383,2020-01-19,-2.39,-4.2,-2.29,17.54,-2.85,-0.33,-3.28,-1.82,3.32,2.74
384,2020-01-20,-0.68,0.05,-0.27,-0.84,-0.69,0.24,-1.02,-1.15,-0.43,1.28
385,2020-01-21,1.08,1.58,4.56,-4.72,0.66,-2.79,1.77,3.62,2.2,3.7
386,2020-01-22,-0.61,-0.83,-1.53,4.06,1.27,0.94,-0.02,1.9,0.65,4.57
387,2020-01-23,-3.2,-3.13,-4.38,1.35,-6.53,-0.51,-4.83,14.44,3.36,-9.67
388,2020-01-24,0.41,-0.19,0.2,1.88,-0.26,-2.1,-1.6,3.33,-7.1,2.03
389,2020-01-25,-1.17,-1.33,-0.92,7.8,-2.13,0.57,-1.23,2.24,5.45,-2.5
390,2020-01-26,3.3,4.68,3.29,-6.42,5.6,-0.7,5.4,-3.05,-2.19,9.53
391,2020-01-27,3.4,1.29,1.02,-7.83,4.01,1.81,-0.19,17.88,-3.74,13.34
392,2020-01-28,5.24,3.29,2.24,5.87,3.36,-0.2,3.59,0.04,4.82,9.08
393,2020-01-29,-0.79,-1.06,-0.82,-1.62,-1.22,15.34,-1.56,-2.92,-1.11,7.51
394,2020-01-30,2.28,6.34,3.49,-3.94,13.66,-10.2,3.56,14.21,0.7,0.46
395,2020-01-31,-1.67,-2.56,-1.57,10.81,0.0,1.4,-1.76,-2.31,2.49,-7.73
396,2020-02-01,0.35,2.03,0.06,21.11,3.97,4.82,0.81,3.13,0.22,1.68
397,2020-02-02,-0.56,2.62,0.86,-5.5,-1.12,-1.22,3.92,-3.27,5.19,-1.4
398,2020-02-03,-0.42,0.64,0.14,3.15,-0.4,1.64,1.43,5.72,-3.16,3.64
399,2020-02-04,-1.02,-0.44,-1.53,2.74,-2.27,-1.8,5.07,-3.66,4.91,-3.05
400,2020-02-05,4.51,7.87,5.96,-6.84,6.69,0.49,3.86,-2.73,-3.53,8.05
401,2020-02-06,1.66,4.62,7.26,-15.13,1.39,-1.46,1.95,0.26,5.37,-1.84
402,2020-02-07,0.43,4.77,6.72,6.3,0.96,0.79,-1.31,-4.03,6.95,-3.44
403,2020-02-08,0.83,-0.14,-1.12,-4.45,3.03,-2.98,-0.77,3.31,-0.51,0.02
404,2020-02-09,2.59,2.46,11.9,4.04,0.57,2.16,1.9,-7.6,-1.16,0.05
405,2020-02-10,-2.95,-2.47,3.26,0.37,-3.86,0.8,-3.25,-10.91,-1.18,1.18
406,2020-02-11,3.77,6.19,2.19,-5.02,3.35,2.45,2.77,2.22,4.4,1.03
407,2020-02-12,1.01,12.27,2.93,0.24,6.17,-1.14,8.31,11.03,-1.27,2.08
408,2020-02-13,-0.93,0.97,-3.62,-1.65,-0.8,-0.05,7.5,5.16,-0.1,-1.3
409,2020-02-14,1.14,6.26,3.51,0.0,3.22,1.75,2.68,-2.49,-11.36,-0.33
410,2020-02-15,-4.25,-7.1,-8.0,-0.84,-7.75,-2.96,-8.5,-4.95,3.51,-13.33
411,2020-02-16,0.13,-2.29,-3.79,5.66,-2.7,-1.72,-4.9,9.84,0.38,-7.99
412,2020-02-17,-2.07,3.46,0.58,-7.8,-1.67,0.59,-1.75,8.07,-4.11,1.23
413,2020-02-18,4.73,5.49,2.67,4.17,5.19,-1.77,3.78,1.16,-1.85,1.86
414,2020-02-19,-5.62,-8.56,-7.02,0.93,-8.6,1.55,-7.94,1.64,0.89,-10.65
415,2020-02-20,0.02,-0.57,-0.93,-0.48,-1.71,-1.03,-1.37,-0.7,-0.95,0.67
416,2020-02-21,0.83,3.23,0.12,-0.83,5.58,0.41,1.2,-7.27,-2.22,6.0
417,2020-02-22,-0.27,-1.41,-1.04,0.98,2.1,-3.41,0.16,-6.74,-1.7,0.73
418,2020-02-23,2.96,4.94,4.1,0.58,6.31,0.13,3.04,1.71,0.77,2.71
419,2020-02-24,-2.82,-3.27,-3.2,-1.5,-4.94,-2.79,-4.45,-0.97,-0.91,-4.06
420,2020-02-25,-3.52,-7.08,-8.04,-0.69,-6.07,1.94,-6.74,-6.54,3.42,-1.89
421,2020-02-26,-5.7,-9.22,-7.81,11.5,-14.72,0.35,-9.13,-47.78,3.2,-16.25
422,2020-02-27,0.42,1.7,2.49,-5.44,2.05,0.7,4.07,21.73,-3.28,0.43
423,2020-02-28,-1.48,-0.43,-1.07,3.93,-3.03,-2.75,-0.8,-12.12,-2.24,-3.38
424,2020-02-29,-1.92,-4.21,1.3,1.62,-3.06,1.09,-3.24,-2.42,-0.08,-1.31
425,2020-03-01,0.1,0.24,-1.8,-1.06,-0.6,-3.82,-0.88,-14.55,-7.4,5.25
426,2020-03-02,4.51,6.5,5.34,-3.53,6.41,-11.2,5.55,4.54,3.09,9.28
427,2020-03-03,-1.7,-3.53,-1.21,-3.52,-0.67,3.95,-2.25,4.41,5.54,0.26
428,2020-03-04,-0.11,0.19,1.42,-7.11,-1.05,-3.99,0.09,14.88,-1.85,-6.37
429,2020-03-05,3.47,1.84,3.99,3.57,2.78,1.29,1.96,0.85,2.58,2.98
430,2020-03-06,0.85,7.22,2.86,-2.05,1.87,1.21,2.38,0.69,0.0,0.54
431,2020-03-07,-2.67,-3.14,-5.1,-3.51,-4.35,-2.55,-3.49,-12.55,1.09,-5.08
432,2020-03-08,-9.59,-15.93,-16.57,-1.48,-15.65,1.22,-13.71,12.97,3.39,-17.42
433,2020-03-09,-1.31,1.69,-1.81,0.91,-1.23,1.07,2.77,2.82,5.36,7.56
434,2020-03-10,-0.45,-1.03,1.65,2.07,-0.22,-0.37,1.14,-2.33,3.0,-1.47
435,2020-03-11,0.51,-3.05,-1.68,1.77,-3.4,0.68,-1.74,2.49,7.65,-3.39
436,2020-03-12,-39.51,-44.6,-44.14,-2.35,-38.52,-1.1,-34.94,-7.58,9.56,-43.66
437,2020-03-13,16.22,24.51,17.98,4.46,25.78,0.05,17.26,-0.04,6.73,30.31
438,2020-03-14,-7.25,-8.59,-7.08,0.8,-8.29,1.44,-8.11,-5.96,6.88,-5.23
439,2020-03-15,3.65,1.01,2.39,7.66,5.76,-0.77,4.92,6.31,-3.26,10.08
440,2020-03-16,-6.18,-10.34,-9.17,-4.62,-8.72,-0.0,-7.87,6.14,2.6,-10.79
441,2020-03-17,5.64,4.19,8.79,2.62,2.53,-0.55,4.14,0.42,-3.87,2.43
442,2020-03-18,1.51,2.11,1.33,0.99,1.91,0.09,0.47,0.78,2.22,-0.03
443,2020-03-19,14.26,15.4,17.98,-0.66,12.04,-0.68,11.6,0.32,2.35,9.46
444,2020-03-20,0.75,-2.07,-2.81,5.42,-2.11,-6.35,-4.64,0.7,0.62,-3.06
445,2020-03-21,-0.28,-0.62,1.71,0.04,0.66,1.87,0.59,-2.25,1.57,2.39
446,2020-03-22,-5.99,-7.77,-7.75,-0.71,-7.67,-3.66,-6.47,12.89,5.31,-8.24
447,2020-03-23,11.2,11.13,9.32,-5.94,9.94,3.52,7.31,6.84,-3.67,8.16
448,2020-03-24,4.32,1.86,1.95,1.2,4.21,2.73,2.35,16.11,-7.64,1.92
449,2020-03-25,-1.0,-1.68,-0.81,1.42,-3.43,-0.27,-0.38,4.43,3.32,-0.9
450,2020-03-26,0.9,1.68,7.09,-1.02,3.17,-0.07,8.8,-2.72,0.2,1.53
451,2020-03-27,-5.61,-5.11,-6.54,1.55,-5.86,-1.8,-1.83,2.15,-1.12,-3.45
452,2020-03-28,-1.93,-0.27,-1.21,-1.39,2.18,0.96,1.57,3.88,-3.58,-2.12
453,2020-03-29,-5.7,-4.92,-7.29,-0.24,-4.48,-1.41,-7.19,-1.22,2.43,-0.03
454,2020-03-30,8.74,6.1,7.4,-0.61,4.85,-0.44,5.12,-3.56,-2.81,2.97
455,2020-03-31,0.25,0.48,3.36,-2.32,0.39,-1.41,1.43,-4.01,-5.72,-0.39
456,2020-04-01,3.6,2.24,1.36,1.41,0.41,0.2,0.78,11.66,4.4,1.78
457,2020-04-02,2.27,4.15,2.34,-0.86,1.61,1.41,1.89,-0.88,-3.04,1.35
458,2020-04-03,-0.88,0.03,2.63,-3.58,1.45,-0.55,0.72,9.5,1.9,0.42
459,2020-04-04,1.84,1.98,2.94,2.71,0.54,-0.88,0.88,-5.06,2.21,0.61
460,2020-04-05,-1.23,-0.99,-0.52,-0.64,-1.06,-0.28,-1.04,-4.36,7.62,-2.32
461,2020-04-06,8.23,20.06,11.03,0.44,11.73,0.84,10.46,0.76,-4.21,11.77
462,2020-04-07,-1.81,-3.9,-3.07,-0.88,-0.58,1.76,-2.6,6.34,-2.2,-2.62
463,2020-04-08,2.28,5.16,2.46,3.99,3.93,0.19,4.71,2.03,5.26,6.45
464,2020-04-09,-1.04,-2.1,-0.53,-5.03,-0.67,0.44,-1.8,0.49,3.11,1.07
465,2020-04-10,-5.83,-6.93,-8.59,1.9,-8.53,-0.15,-5.39,0.34,0.53,-10.8
466,2020-04-11,0.26,0.33,0.66,1.22,0.61,-1.06,0.48,-1.73,-3.97,0.58
467,2020-04-12,0.39,0.16,3.42,2.95,-1.27,0.14,0.48,-2.23,10.26,0.7
468,2020-04-13,-0.95,-1.43,5.23,2.11,-1.83,-1.66,-0.89,0.11,18.98,-2.49
469,2020-04-14,0.45,1.39,3.92,-1.79,0.05,0.34,-0.8,6.75,3.81,1.2
470,2020-04-15,-3.6,-3.62,-6.66,7.27,-4.78,-0.75,-2.98,-4.77,-10.13,-2.73
471,2020-04-16,7.26,12.8,7.99,-0.83,8.38,0.12,5.56,1.5,20.06,7.35
472,2020-04-17,-1.05,-0.94,-0.63,8.12,-0.78,0.14,-0.98,1.63,3.05,-1.93
473,2020-04-18,3.16,9.84,6.19,-6.08,4.6,0.09,3.61,-2.86,0.21,5.35
474,2020-04-19,-1.76,-3.93,-3.32,9.77,-4.37,1.06,-3.27,1.08,-0.39,-3.15
475,2020-04-20,-4.14,-5.45,-6.71,7.4,-4.78,0.88,-3.92,-1.77,2.73,-4.63
476,2020-04-21,0.18,0.31,0.96,3.87,0.95,-0.11,1.07,-2.57,-5.43,-0.41
477,2020-04-22,4.15,7.01,3.78,6.6,2.98,-0.22,2.52,4.7,-1.27,3.6
478,2020-04-23,5.01,1.54,2.06,0.17,2.8,0.66,2.43,1.14,-3.0,3.99
479,2020-04-24,0.28,1.09,-0.74,-4.61,3.61,0.46,0.33,5.66,11.47,-0.11
480,2020-04-25,0.45,3.52,1.86,-6.96,-0.31,0.17,0.47,-6.39,-11.0,2.78
481,2020-04-26,2.04,1.63,0.83,-7.5,0.32,-3.44,1.05,-4.62,14.26,8.13
482,2020-04-27,1.06,-0.53,0.36,7.45,-0.18,-0.26,0.65,3.08,33.08,-1.81
483,2020-04-28,-0.44,-0.05,-0.49,-7.16,2.74,0.42,8.44,1.94,-3.8,0.68
484,2020-04-29,13.44,9.74,6.31,5.53,6.83,-0.65,5.76,1.17,2.03,9.78
485,2020-04-30,-1.81,-4.33,-2.42,-3.03,-5.08,0.27,-6.66,-3.88,-7.99,-4.5
486,2020-05-01,2.4,2.89,3.04,10.39,1.6,-2.34,3.08,2.7,-5.4,3.21
487,2020-05-02,1.66,0.89,0.38,-8.02,4.5,-0.09,2.68,0.52,3.68,12.37
488,2020-05-03,-0.87,-1.88,-2.43,6.58,-2.34,1.08,-1.97,2.86,-3.87,-3.57
489,2020-05-04,-0.25,-1.61,-0.56,-5.74,-2.31,3.46,-0.73,1.48,4.83,0.07
490,2020-05-05,1.69,-0.57,-0.73,4.11,-0.92,4.63,-0.41,3.55,-5.47,-0.31
491,2020-05-06,1.35,-3.08,-3.0,2.42,-3.48,-3.18,-2.44,-6.32,0.18,-4.91
492,2020-05-07,9.22,6.58,3.87,-1.27,5.45,1.29,3.26,6.01,-8.04,3.73
493,2020-05-08,-1.87,-0.33,0.8,-2.32,0.68,-1.29,0.02,-3.37,-26.24,0.68
494,2020-05-09,-2.66,-0.59,-2.11,-4.17,-1.57,3.52,-1.02,-3.38,11.47,-1.27
495,2020-05-10,-8.56,-10.73,-8.49,-8.01,-10.45,-0.08,-8.96,1.94,-10.06,-12.28
496,2020-05-11,-1.85,-1.01,-1.76,-18.64,-1.28,0.68,-2.3,-0.5,5.46,-2.77
497,2020-05-12,2.91,2.13,4.63,0.79,1.66,1.16,2.37,0.23,-2.4,1.23
498,2020-05-13,5.66,5.17,2.67,-6.7,2.37,-1.66,2.37,4.98,-2.02,2.14
499,2020-05-14,5.18,1.84,0.98,4.24,1.85,-0.05,1.04,-1.64,7.39,1.02
500,2020-05-15,-4.86,-4.15,-3.97,0.48,-2.84,4.28,-2.75,4.88,0.13,3.56
501,2020-05-16,0.7,2.86,2.2,-3.29,1.22,1.6,0.76,-1.12,0.32,2.94
502,2020-05-17,3.19,3.27,1.48,10.1,1.06,-1.02,0.81,6.07,4.83,-0.46
503,2020-05-18,0.55,3.81,2.02,1.7,3.71,-0.08,2.04,0.41,-5.05,0.75
504,2020-05-19,0.43,-0.16,3.49,3.39,0.88,2.66,-0.2,2.06,1.2,-0.56
505,2020-05-20,-2.7,-2.15,-1.8,-0.38,-3.24,17.61,-1.5,-1.42,-9.5,-3.23
506,2020-05-21,-4.66,-5.36,-4.8,-5.59,-3.41,-4.78,-3.69,-1.54,5.3,-5.05
507,2020-05-22,1.13,4.35,3.09,1.57,3.53,10.26,3.09,-0.13,-1.11,5.5
508,2020-05-23,0.1,-0.37,-0.65,1.79,-0.84,15.44,-0.74,-0.11,-1.99,1.47
509,2020-05-24,-5.0,-3.24,-3.13,-2.99,-4.01,-12.93,-3.15,2.86,-0.36,0.37
510,2020-05-25,2.09,2.13,2.73,3.13,2.12,-12.51,1.86,-0.9,-5.63,3.52
511,2020-05-26,-0.66,-1.63,-1.01,2.89,-1.67,0.59,-1.27,-0.34,-12.48,-1.43
512,2020-05-27,4.11,3.67,1.61,-0.85,3.76,3.64,2.17,-10.5,3.09,0.99
